NAME,ORIGIN,SUPPLIER,TYPE,GRAIN_TYPE,COLOR,EXTRACTION,POWER
Amber Malt,United Kingdom,Simpsons,Grain,Roasted,23,69,
Aromatic Malt,United Kingdom,Simpsons,Grain,Kilned,23,70,
Black Malt,United Kingdom,Simpsons,Grain,Roasted,625,69,
Brown Malt,United Kingdom,Simpsons,Grain,Roasted,193,68,
Caramalt,United Kingdom,Simpsons,Grain,Crystal,14,71,
Chocolate Malt,United Kingdom,Simpsons,Grain,Roasted,443,69,
Crystal Dark,United Kingdom,Simpsons,Grain,Crystal,100,69,
Crystal Extra Dark,United Kingdom,Simpsons,Grain,Crystal,180,69,
Crystal Light,United Kingdom,Simpsons,Grain,Crystal,40,69,
Crystal Medium,United Kingdom,Simpsons,Grain,Crystal,68,69,
Dextrin Malt,United Kingdom,Simpsons,Grain,Special,1.1,67,
Extra Pale Ale Malt,United Kingdom,Simpsons,Grain,Base,1.8,80,65
Golden Naked Oats,United Kingdom,Simpsons,Grain,Special,7.2,69,
Golden Promise,United Kingdom,Simpsons,Grain,Base,2.6,81,65
Imperial Malt,United Kingdom,Simpsons,Grain,Kilned,17,75,
Lager Malt,United Kingdom,Simpsons,Grain,Base,1.8,81,55
Low Colour Maris Otter,United Kingdom,Simpsons,Grain,Base,2.6,80,65
Malted Oats,United Kingdom,Simpsons,Grain,Special,1.7,74,
Malted Rye,United Kingdom,Simpsons,Grain,Special,2.0,78,60
Maris Otter,United Kingdom,Simpsons,Grain,Base,2.6,81,65
Munich Malt,United Kingdom,Simpsons,Grain,Kilned,8.6,80,25
Pale Ale Malt,United Kingdom,Simpsons,Grain,Base,1.8,80,65
Roasted Barley,United Kingdom,Simpsons,Grain,Roasted,600,62,
Vienna Malt,United Kingdom,Simpsons,Grain,Kilned,3.3,75,50
Wheat Malt,United Kingdom,Simpsons,Grain,Special,2.0,83,120
