NAME,TYPE,COLOR,EXTRACTION,ATTENUATION
Amber Candi Sugar,Sugar,75,95,100
Blonde Soft Candi Sugar,Sugar,5,85,100
Brown Soft Candi Sugar,Sugar,40,85,100
Brown Sugar Dark,Sugar,40,95,100
Brown Sugar Light,Sugar,20,95,100
Corn Sugar (Glucose/Dextrose),Sugar,0,95,100
Dark Candi Sugar,Sugar,275,95,100
Demerara,Sugar,1,100,100
Lactose,Sugar,0,75,0
Light Candi Sugar,Sugar,0,95.5,100
Maltodextrin,Sugar,0,90,0
Muscovado,Sugar,10,95,100
Table/Cane/Beet Sugar (Sucrose),Sugar,0,100,100
Turbinado,Sugar,10,95,100
